Epoch [153/2000], Step [20/20], Gen. Loss: 2.2963, Disc Loss: 0.3136, Trained module: discriminator
Epoch [154/2000], Step [20/20], Gen. Loss: 0.3768, Disc Loss: 1.1456, Trained module: generator
Epoch [155/2000], Step [20/20], Gen. Loss: 2.1522, Disc Loss: 0.3239, Trained module: discriminator
Epoch [156/2000], Step [20/20], Gen. Loss: 0.3746, Disc Loss: 1.1446, Trained module: generator
Epoch [157/2000], Step [20/20], Gen. Loss: 2.2858, Disc Loss: 0.3142, Trained module: discriminator
Epoch [158/2000], Step [20/20], Gen. Loss: 0.3745, Disc Loss: 1.1609, Trained module: generator
Epoch [159/2000], Step [20/20], Gen. Loss: 2.1028, Disc Loss: 0.3370, Trained module: discriminator
Epoch [160/2000], Step [20/20], Gen. Loss: 0.3811, Disc Loss: 1.1223, Trained module: generator
Epoch [161/2000], Step [20/20], Gen. Loss: 2.1994, Disc Loss: 0.3214, Trained module: discriminator
Epoch [162/2000], Step [20/20], Gen. Loss: 0.3528, Disc Loss: 1.2862, Trained module: generator
Epoch [163/2000], Step [20/20], Gen. Loss: 2.3053, Disc Loss: 0.3297, Trained module: discriminator
Epoch [164/2000], Step [20/20], Gen. Loss: 0.3582, Disc Loss: 1.2469, Trained module: generator
Epoch [165/2000], Step [20/20], Gen. Loss: 2.1961, Disc Loss: 0.3309, Trained module: discriminator
Epoch [166/2000], Step [20/20], Gen. Loss: 0.3692, Disc Loss: 1.2165, Trained module: generator
Epoch [167/2000], Step [20/20], Gen. Loss: 2.2478, Disc Loss: 0.3298, Trained module: discriminator
Epoch [168/2000], Step [20/20], Gen. Loss: 0.3575, Disc Loss: 1.2280, Trained module: generator
Epoch [169/2000], Step [20/20], Gen. Loss: 2.2458, Disc Loss: 0.3237, Trained module: discriminator
Epoch [170/2000], Step [20/20], Gen. Loss: 0.3667, Disc Loss: 1.2140, Trained module: generator
Epoch [171/2000], Step [20/20], Gen. Loss: 2.2018, Disc Loss: 0.3319, Trained module: discriminator
Epoch [172/2000], Step [20/20], Gen. Loss: 0.3650, Disc Loss: 1.1782, Trained module: generator
Epoch [173/2000], Step [20/20], Gen. Loss: 2.2307, Disc Loss: 0.3228, Trained module: discriminator
Epoch [174/2000], Step [20/20], Gen. Loss: 0.3639, Disc Loss: 1.2264, Trained module: generator
Epoch [175/2000], Step [20/20], Gen. Loss: 2.3744, Disc Loss: 0.3190, Trained module: discriminator
Epoch [176/2000], Step [20/20], Gen. Loss: 0.3668, Disc Loss: 1.1840, Trained module: generator
Epoch [177/2000], Step [20/20], Gen. Loss: 2.1215, Disc Loss: 0.3341, Trained module: discriminator
Epoch [178/2000], Step [20/20], Gen. Loss: 0.3574, Disc Loss: 1.2155, Trained module: generator
Epoch [179/2000], Step [20/20], Gen. Loss: 2.2749, Disc Loss: 0.3229, Trained module: discriminator
Epoch [180/2000], Step [20/20], Gen. Loss: 0.3541, Disc Loss: 1.2672, Trained module: generator
Epoch [181/2000], Step [20/20], Gen. Loss: 2.1291, Disc Loss: 0.3446, Trained module: discriminator
Epoch [182/2000], Step [20/20], Gen. Loss: 0.3732, Disc Loss: 1.1638, Trained module: generator
Epoch [183/2000], Step [20/20], Gen. Loss: 2.1861, Disc Loss: 0.3266, Trained module: discriminator
Epoch [184/2000], Step [20/20], Gen. Loss: 0.3741, Disc Loss: 1.1503, Trained module: generator
Epoch [185/2000], Step [20/20], Gen. Loss: 2.1609, Disc Loss: 0.3284, Trained module: discriminator
Epoch [186/2000], Step [20/20], Gen. Loss: 0.3601, Disc Loss: 1.2211, Trained module: generator
Epoch [187/2000], Step [20/20], Gen. Loss: 2.2315, Disc Loss: 0.3271, Trained module: discriminator
Epoch [188/2000], Step [20/20], Gen. Loss: 0.3724, Disc Loss: 1.1278, Trained module: generator
Epoch [189/2000], Step [20/20], Gen. Loss: 2.1088, Disc Loss: 0.3264, Trained module: discriminator
Epoch [190/2000], Step [20/20], Gen. Loss: 0.3568, Disc Loss: 1.2255, Trained module: generator
Epoch [191/2000], Step [20/20], Gen. Loss: 2.3549, Disc Loss: 0.3133, Trained module: discriminator
Epoch [192/2000], Step [20/20], Gen. Loss: 0.3610, Disc Loss: 1.1978, Trained module: generator
Epoch [193/2000], Step [20/20], Gen. Loss: 2.0739, Disc Loss: 0.3409, Trained module: discriminator
Epoch [194/2000], Step [20/20], Gen. Loss: 0.3782, Disc Loss: 1.1559, Trained module: generator
Epoch [195/2000], Step [20/20], Gen. Loss: 2.3444, Disc Loss: 0.3109, Trained module: discriminator
Epoch [196/2000], Step [20/20], Gen. Loss: 0.3425, Disc Loss: 1.2681, Trained module: generator
Epoch [197/2000], Step [20/20], Gen. Loss: 2.2072, Disc Loss: 0.3320, Trained module: discriminator
Epoch [198/2000], Step [20/20], Gen. Loss: 0.3707, Disc Loss: 1.1545, Trained module: generator
Epoch [199/2000], Step [20/20], Gen. Loss: 2.2192, Disc Loss: 0.3243, Trained module: discriminator
Epoch [200/2000], Step [20/20], Gen. Loss: 0.3567, Disc Loss: 1.2516, Trained module: generator
Epoch [201/2000], Step [20/20], Gen. Loss: 2.2446, Disc Loss: 0.3290, Trained module: discriminator
Epoch [202/2000], Step [20/20], Gen. Loss: 0.3776, Disc Loss: 1.1691, Trained module: generator
Epoch [203/2000], Step [20/20], Gen. Loss: 2.2044, Disc Loss: 0.3230, Trained module: discriminator
Epoch [204/2000], Step [20/20], Gen. Loss: 0.3809, Disc Loss: 1.1373, Trained module: generator
Epoch [205/2000], Step [20/20], Gen. Loss: 2.2579, Disc Loss: 0.3146, Trained module: discriminator
Epoch [206/2000], Step [20/20], Gen. Loss: 0.3709, Disc Loss: 1.1615, Trained module: generator
Epoch [207/2000], Step [20/20], Gen. Loss: 2.1732, Disc Loss: 0.3267, Trained module: discriminator
Epoch [208/2000], Step [20/20], Gen. Loss: 0.3763, Disc Loss: 1.1311, Trained module: generator
Epoch [209/2000], Step [20/20], Gen. Loss: 2.2274, Disc Loss: 0.3181, Trained module: discriminator
Epoch [210/2000], Step [20/20], Gen. Loss: 0.3750, Disc Loss: 1.1496, Trained module: generator
Epoch [211/2000], Step [20/20], Gen. Loss: 2.2047, Disc Loss: 0.3228, Trained module: discriminator
Epoch [212/2000], Step [20/20], Gen. Loss: 0.3665, Disc Loss: 1.1688, Trained module: generator
Epoch [213/2000], Step [20/20], Gen. Loss: 2.2181, Disc Loss: 0.3205, Trained module: discriminator
Epoch [214/2000], Step [20/20], Gen. Loss: 0.3646, Disc Loss: 1.2124, Trained module: generator
Epoch [215/2000], Step [20/20], Gen. Loss: 2.2416, Disc Loss: 0.3235, Trained module: discriminator
Epoch [216/2000], Step [20/20], Gen. Loss: 0.3708, Disc Loss: 1.1638, Trained module: generator
Epoch [217/2000], Step [20/20], Gen. Loss: 2.1943, Disc Loss: 0.3229, Trained module: discriminator
Epoch [218/2000], Step [20/20], Gen. Loss: 0.3607, Disc Loss: 1.1661, Trained module: generator
Epoch [219/2000], Step [20/20], Gen. Loss: 2.2703, Disc Loss: 0.3162, Trained module: discriminator
Epoch [220/2000], Step [20/20], Gen. Loss: 0.3755, Disc Loss: 1.1785, Trained module: generator
Epoch [221/2000], Step [20/20], Gen. Loss: 2.1716, Disc Loss: 0.3276, Trained module: discriminator
Epoch [222/2000], Step [20/20], Gen. Loss: 0.3472, Disc Loss: 1.2011, Trained module: generator
Epoch [223/2000], Step [20/20], Gen. Loss: 2.3602, Disc Loss: 0.3112, Trained module: discriminator
Epoch [224/2000], Step [20/20], Gen. Loss: 0.3655, Disc Loss: 1.2594, Trained module: generator
Epoch [225/2000], Step [20/20], Gen. Loss: 2.2498, Disc Loss: 0.3257, Trained module: discriminator
Epoch [226/2000], Step [20/20], Gen. Loss: 0.3624, Disc Loss: 1.1896, Trained module: generator
Epoch [227/2000], Step [20/20], Gen. Loss: 2.2745, Disc Loss: 0.3187, Trained module: discriminator
Epoch [228/2000], Step [20/20], Gen. Loss: 0.3701, Disc Loss: 1.1657, Trained module: generator
Epoch [229/2000], Step [20/20], Gen. Loss: 2.2161, Disc Loss: 0.3215, Trained module: discriminator
Epoch [230/2000], Step [20/20], Gen. Loss: 0.3702, Disc Loss: 1.1952, Trained module: generator
Epoch [231/2000], Step [20/20], Gen. Loss: 2.3313, Disc Loss: 0.3149, Trained module: discriminator
Epoch [232/2000], Step [20/20], Gen. Loss: 0.3669, Disc Loss: 1.1817, Trained module: generator
Epoch [233/2000], Step [20/20], Gen. Loss: 2.0615, Disc Loss: 0.3457, Trained module: discriminator
Epoch [234/2000], Step [20/20], Gen. Loss: 0.3870, Disc Loss: 1.1193, Trained module: generator
Epoch [235/2000], Step [20/20], Gen. Loss: 2.2592, Disc Loss: 0.3226, Trained module: discriminator
Epoch [236/2000], Step [20/20], Gen. Loss: 0.3685, Disc Loss: 1.2191, Trained module: generator
Epoch [237/2000], Step [20/20], Gen. Loss: 2.1526, Disc Loss: 0.3364, Trained module: discriminator
Epoch [238/2000], Step [20/20], Gen. Loss: 0.3777, Disc Loss: 1.1582, Trained module: generator
Epoch [239/2000], Step [20/20], Gen. Loss: 2.2953, Disc Loss: 0.3230, Trained module: discriminator
Epoch [240/2000], Step [20/20], Gen. Loss: 0.3727, Disc Loss: 1.2516, Trained module: generator
Epoch [241/2000], Step [20/20], Gen. Loss: 2.2615, Disc Loss: 0.3318, Trained module: discriminator
Epoch [242/2000], Step [20/20], Gen. Loss: 0.3750, Disc Loss: 1.2083, Trained module: generator
Epoch [243/2000], Step [20/20], Gen. Loss: 2.1887, Disc Loss: 0.3387, Trained module: discriminator
Epoch [244/2000], Step [20/20], Gen. Loss: 0.3762, Disc Loss: 1.1727, Trained module: generator
Epoch [245/2000], Step [20/20], Gen. Loss: 2.2088, Disc Loss: 0.3285, Trained module: discriminator
Epoch [246/2000], Step [20/20], Gen. Loss: 0.3961, Disc Loss: 1.1289, Trained module: generator
Epoch [247/2000], Step [20/20], Gen. Loss: 2.2518, Disc Loss: 0.3203, Trained module: discriminator
Epoch [248/2000], Step [20/20], Gen. Loss: 0.3808, Disc Loss: 1.1733, Trained module: generator
Epoch [249/2000], Step [20/20], Gen. Loss: 2.1514, Disc Loss: 0.3382, Trained module: discriminator
Epoch [250/2000], Step [20/20], Gen. Loss: 0.3719, Disc Loss: 1.1712, Trained module: generator
Epoch [251/2000], Step [20/20], Gen. Loss: 2.1977, Disc Loss: 0.3294, Trained module: discriminator
Epoch [252/2000], Step [20/20], Gen. Loss: 0.3853, Disc Loss: 1.1493, Trained module: generator
Epoch [253/2000], Step [20/20], Gen. Loss: 2.2998, Disc Loss: 0.3120, Trained module: discriminator
Epoch [254/2000], Step [20/20], Gen. Loss: 0.3760, Disc Loss: 1.1615, Trained module: generator
Epoch [255/2000], Step [20/20], Gen. Loss: 2.2738, Disc Loss: 0.3160, Trained module: discriminator
Epoch [256/2000], Step [20/20], Gen. Loss: 0.3701, Disc Loss: 1.1891, Trained module: generator
Epoch [257/2000], Step [20/20], Gen. Loss: 2.2188, Disc Loss: 0.3311, Trained module: discriminator
Epoch [258/2000], Step [20/20], Gen. Loss: 0.3777, Disc Loss: 1.2071, Trained module: generator
Epoch [259/2000], Step [20/20], Gen. Loss: 2.3309, Disc Loss: 0.3182, Trained module: discriminator
Epoch [260/2000], Step [20/20], Gen. Loss: 0.3861, Disc Loss: 1.1401, Trained module: generator
Epoch [261/2000], Step [20/20], Gen. Loss: 2.1464, Disc Loss: 0.3343, Trained module: discriminator
Epoch [262/2000], Step [20/20], Gen. Loss: 0.3680, Disc Loss: 1.2042, Trained module: generator
Epoch [263/2000], Step [20/20], Gen. Loss: 2.3599, Disc Loss: 0.3182, Trained module: discriminator
Epoch [264/2000], Step [20/20], Gen. Loss: 0.3859, Disc Loss: 1.1599, Trained module: generator
